,username,retweet_or_quote_screen_name,type
1238,aggiemariachi,2,I
213,CoachE_TAMU,15,I
119,TAMUISS,34,I
63,tamugalleries,68,I
127,TAMUGeosciences,31,I
27,TAMU_CAPS,126,I
121,Aggiebound,34,I
202,GetToAggieGame,15,I
201,tamuweather,15,I
29,AggieSwimDive,119,I
122,JobsforAggies,33,I
200,TAMU_ATC,15,I
124,aggieachieve,32,I
206,tamucc_cose,15,I
125,TAMUFamilyWknd,32,I
207,TAMUpharmacy,15,I
128,TAMU_CPHA,31,I
229,SustainableTAMU,13,I
199,tamucarpool,15,I
232,ScowcroftTAMU,13,I
26,TAMUScience,127,I
264,TamuPPIP,11,I
263,TAMUyell,11,I
65,wtamu,67,I
30,hlkn_tamu,116,I
33,TAMUnursing,110,I
62,GainesTAMU,68,I
61,AggieMensGolf,68,I
159,TAMULawFS,21,I
23,TTITAMU,147,I
256,TEDxTAMU,12,I
24,TAMUmedicine,142,I
253,TAMUTexarkana,12,I
251,TAMU_Law_Global,12,I
248,TAMUClassOf23,12,I
25,aggietfxc,138,I
60,AggieCorps,69,I
158,aggiejournalist,22,I
240,TAMUQuidditch,12,I
238,TAMU_CSL,12,I
237,tamu_bsyb,12,I
235,TAMUDisability,13,I
233,TAMUPhysicsFest,13,I
265,TAMULettermen,11,I
129,historyTAMU,31,I
164,TAMULawACS,20,I
56,tamuresearch,74,I
160,TAMUMcFerrin,21,I
59,TAMUVMTH,71,I
22,TAMUclip,152,I
144,STANDUPTAMU,25,I
198,tspTAMU,15,I
146,tamu_csmre,25,I
43,TAMUWRC,89,I
55,AggieMTEN,78,I
45,TAMUabroad,85,I
157,TAMUOneHealth,22,I
155,TAMUARCH,22,I
154,FishCampTAMU,23,I
153,AggieDining,23,I
53,dmstamu,81,I
42,tamuwc,90,I
1326,TAMUDFWHispanic,1,I
262,TAMUHR,11,I
49,tamustuact,82,I
47,TAMULiberalArts,84,I
150,TAMU_UC,24,I
143,TAMUCT,25,I
130,TAMUYoungAlumni,31,I
38,The12thCanTAMU,104,I
165,TAMU_PEAP,20,I
32,tamustudentlife,113,I
147,tamu_scola,24,I
58,cehdtamu,72,I
