,username,in_reply_to_screen_name,type
2386,nece1228,1,P
2446,Emma5764,1,P
2443,__dianita___,1,P
2442,andersongt08,1,P
1830,DillonEdge1,1,P
2439,MrsPitcel_KPHS,1,P
2435,greatbrit18,1,P
2433,amy_mikahiel,1,P
2431,50ShadesOfGen_,1,P
2413,tymad7,1,P
2429,ducks_go_quack_,1,P
2427,savy_garza,1,P
2426,jane_mcook,1,P
2425,jared_adk,1,P
2422,Greyson_C4,1,P
2420,lisa756craig,1,P
2417,cgarci_,1,P
2416,6944gj,1,P
2415,whitneywags_,1,P
2428,duct_tape_scars,1,P
2414,landon_harrell,1,P
2384,Gerardo_Vill,1,P
66,_jules2020,6,P
2334,carfar5,1,P
2329,jacobtr_n,1,P
2326,caitlynmassey_,1,P
2323,chris__kaiser,1,P
2320,brand_i13,1,P
2319,CajunQueen44,1,P
2314,mina_mmou,1,P
2313,blumenthal_zoe,1,P
2339,MCPIE17,1,P
1835,tristen_faith,1,P
2301,lsanchez865,1,P
2298,Tarleton_COGS,1,P
1841,garrison_1024,1,P
2296,KRIS6News,1,P
75,Samuel_Lerman,6,P
2291,J0SUEBELL0,1,P
2290,kenzie_colston,1,P
2285,TSC_Scorpions,1,P
2305,DiegoM1228,1,P
2340,sanketsir10,1,P
2342,weston_cindy,1,P
2344,luiz_sayha,1,P
2381,WeDoRecover24_7,1,P
2378,Proof_Alliance,1,P
2376,Defeat_Sadness,1,P
2374,giovani_escalon,1,P
2372,analisa_garza,1,P
2371,connor_254,1,P
2369,MrsWilkins9,1,P
1831,F_dhahi,1,P
2368,The_PW_Lab,1,P
2365,American_Heart,1,P
2361,kyleewylie_,1,P
2360,politicalthot1,1,P
2359,audrey_mar97,1,P
1833,mikaylagrace00,1,P
2356,SMART_MD,1,P
2352,langnick02,1,P
2351,dom_solo,1,P
2347,Downtown_Bryan,1,P
2345,Mariano37736817,1,P
2383,Harris_Gardens,1,P
1827,jeridonna23,1,P
2447,MamaLou68,1,P
2450,PaolaBaaby_,1,P
2551,hung41838203,1,P
2550,CCPH_News,1,P
2547,nature_org,1,P
2546,meshal504444,1,P
2544,QHS2021,1,P
2540,_mayaa_12,1,P
2539,colby_see01,1,P
2538,josemoralesv_,1,P
2552,Ronney_Stadler,1,P
2536,RaulAlv8,1,P
2533,drewromero_42,1,P
2532,IshitaChandel1,1,P
2529,rudee_v,1,P
2527,Maev_Cleric,1,P
2524,aaron_briones13,1,P
2522,AaronMacias1,1,P
2519,vvelazquez02,1,P
2518,bkanning2,1,P
2534,3DayMom,1,P
58,susie_hatfield,7,P
1816,patrick_despain,1,P
56,Prof_Holland,7,P
2593,Qwoobie101,1,P
2591,The_Hugo_Black,1,P
2587,alexis_sample15,1,P
2582,Austin_Ford,1,P
2580,CassidyRegan99,1,P
2579,LindaStafford67,1,P
2578,StefNikiRey83,1,P
2577,sean_nimmons,1,P
2575,sarahakhtar_,1,P
2574,Valen_cepak,1,P
53,keeg_u_9,7,P
2572,caford98,1,P
2570,madisontayler_,1,P
2569,Gabbs1120,1,P
2568,pulki_bushu,1,P
2564,WyattShanks1,1,P
2563,cantukatherine4,1,P
54,anp16,7,P
2559,danilaserra_eco,1,P
2517,anadaze_,1,P
2515,Binxsss_,1,P
2513,deh061,1,P
2511,KatieSue1926,1,P
2475,atx1029,1,P
2473,emilyflores0,1,P
2471,PattyMichelle00,1,P
2469,rlmilton1,1,P
2468,audrey_thelen,1,P
2464,evam39968855,1,P
1822,MelissaEsc15,1,P
2462,aphenley02,1,P
1823,arianaelena97,1,P
2461,ChrisMtz_16,1,P
2460,CT_Taylor07,1,P
2459,aarenp24,1,P
2458,lizbethrobles__,1,P
1824,_colemannn,1,P
2455,careni30,1,P
2454,adrianamrtnz25,1,P
2453,britthayden18,1,P
2452,lil_drumer_boi,1,P
2451,katiegarcia2018,1,P
2476,jensa98,1,P
2283,JourneymanUSA1,1,P
2477,Bracci0,1,P
2480,colehbrantley1,1,P
1817,jazmine1011,1,P
2509,leray_havard,1,P
2508,katienicks_,1,P
2507,Pastor_Shorter,1,P
2505,tornado_alli_,1,P
2502,Mattdog1213,1,P
2497,75Chaney,1,P
1818,XOTWODchris_,1,P
2495,AmberKay09,1,P
2493,jreinbolt99,1,P
2490,_amandacw_,1,P
2489,alehus_,1,P
2488,boom_yea,1,P
2487,cryslay13,1,P
1819,TexAg09,1,P
1820,EBohrnstedt98,1,P
2485,sam_snideman,1,P
1821,3l15e,1,P
2481,jami_respondek,1,P
2478,slygirl214,1,P
1842,EricV_23,1,P
2282,Blinn_Hensley,1,P
2278,msheppard1968,1,P
1862,Hunter34347,1,P
1986,cody_fowler4,1,P
1985,txag2k,1,P
1863,BlueTeam02,1,P
1984,cc_ashleylucio,1,P
1983,SamGarcia531,1,P
1981,mulley0731,1,P
1976,Saidee97,1,P
1990,izzyjacobs13,1,P
1975,KCates96,1,P
1973,sarahpug101,1,P
1971,nathalee_lesly,1,P
1968,bennett_gierk22,1,P
1967,wolfie_c4,1,P
1966,laurenkizer_,1,P
1964,Lucky_Krypto,1,P
1960,The_CoSMo_,1,P
1958,c_smith3434,1,P
1974,catsy_cline,1,P
1991,the_ben_woolley,1,P
1992,EthanVelasquez5,1,P
1993,rubyysapp13,1,P
2028,yaaasmine___,1,P
2022,RussellEvans_NB,1,P
2021,xela_kcaj_,1,P
